;Species;order;FemaleMeanMass;MaleMeanMass;CMR;ICM;lifeexp;Sample;Deaths;Neoplasia;knownDeaths;Animal;Vertebrate;Invertebrate;Fish;Herptile;Bird;Mammal;Adult_life_expectancy;body mass
171;Sapajus_apella;Primates;3.095090527;4.215556929;0.026315789;NA;7343.081404;550;127;1;38;1;1;1;0;1;1;1;7343.08;3.66
172;Sciurus_vulgaris;Rodentia;0.385776863;0.332731293;0.035714286;0.050910067;1387.357775;222;156;1;28;0;0;0;0;0;0;0;1387.36;0.36
173;Speothos_venaticus;Carnivora;7.950120371;7.220697019;0.03125;0.017021852;2546.021676;289;134;1;32;1;1;0;0;0;0;1;2546.02;7.59
174;Suricata_suricatta;Carnivora;1.030391134;1.051936425;0.07748184;0.128185867;2851.010341;4234;1694;32;413;1;1;1;0;0;0;0;2851.01;1.04
175;Syncerus_caffer;Artiodactyla;438.1855355;444.9696268;0;0;5026.785948;305;98;0;22;0;0;0;0;0;0;0;5026.79;441.58
176;Tapirus_indicus;Perissodactyla;339.9556391;316.8625121;0.2;0.089729931;5722.041054;204;68;4;20;0;0;0;0;0;0;0;5722.04;328.41
177;Tapirus_terrestris;Perissodactyla;224.1528361;190.4735269;0.023809524;0.008015927;5960.327125;477;131;1;42;0;0;0;0;0;0;0;5960.33;207.31
178;Theropithecus_gelada;Primates;13.64527687;22.38899569;0;0;5585.557797;363;73;0;22;0;0;0;0;0;0;0;5585.56;18.02
179;Tragelaphus_angasii;Artiodactyla;59.74474054;98.28924854;0.019607843;0.010195515;2412.19297;683;318;2;102;0;0;0;0;0;0;0;2412.19;79.02
180;Tragelaphus_eurycerus;Artiodactyla;209.6035943;290.4101034;0.042253521;0.029355348;2899.292936;606;321;3;71;0;0;0;0;0;0;0;2899.29;250.01
181;Tragelaphus_imberbis;Artiodactyla;63.64219227;81.76236695;0.052631579;0.069334124;2455.946341;282;154;2;38;0;0;0;0;0;0;0;2455.95;72.7
182;Tragelaphus_oryx;Artiodactyla;338.4316259;407.6155148;0.014705882;0.006793696;3094.010469;1014;476;2;136;0;0;0;0;0;0;0;3094.01;373.02
183;Tragelaphus_strepsiceros;Artiodactyla;158.0746311;228.8491106;0.033613445;0.032075873;2528.439638;700;391;4;119;0;0;0;0;0;0;0;2528.44;193.46
184;Tragulus_javanicus;Artiodactyla;1.829914981;1.599390625;0;NA;2498.251825;277;158;0;47;0;0;0;0;0;0;0;2498.25;1.71
185;Tupaia_belangeri;Scandentia;0.183108146;0.200349304;0.125;0.096262762;1754.062522;331;212;3;24;1;0;1;0;0;0;0;1754.06;0.19
186;Ursus_arctos;Carnivora;202.1208664;328.9863178;0.1;0.066686743;6957.182298;389;125;4;40;1;1;1;1;0;0;1;6957.18;265.55
187;Ursus_maritimus;Carnivora;259.3593645;430.1618866;0.045454545;0.048881568;7678.250402;217;74;1;22;1;1;0;1;0;0;1;7678.25;344.76
188;Varecia_rubra;Primates;3.844791588;3.646335946;0.185185185;0.156497697;6441.782926;719;220;10;54;0;0;0;0;0;0;0;6441.78;3.75
189;Varecia_variegata;Primates;3.971748729;3.647014992;0.065934066;0.074174267;5743.5672;972;338;6;91;0;0;0;0;0;0;0;5743.57;3.81
190;Vulpes_zerda;Carnivora;1.32742574;1.398560037;0.142857143;0.14810389;3451.827535;454;164;6;42;1;1;1;0;1;1;1;3451.83;1.36
191;Zalophus_californianus;Carnivora;86.94506358;196.7601461;0.088888889;0.149086184;5914.623093;561;188;4;45;NA;NA;NA;NA;NA;NA;NA;5914.62;141.85
